playlist_index,title,id,view_count,like_count,comment_count,upload_date,upload_date_iso,duration,duration_string,channel,uploader,url
85,Testing: Basic structure and  basic workflow,yMPV9TPH3GI,37,1,0,20210406,2021-04-06,1789,29:49,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=yMPV9TPH3GI
86,Testing: Introduction,9JcJFber21w,59,3,0,20210330,2021-03-30,1794,29:54,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=9JcJFber21w
87,targets: debugging,lfhuO71ikQE,137,4,0,20210309,2021-03-09,1643,27:23,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=lfhuO71ikQE
88,targets: Eexternal files and literate programming,jAkNwaGRku0,178,7,0,20210302,2021-03-02,1928,32:08,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=jAkNwaGRku0
89,targets: tar_cue(): Declare the rules that mark a target as outdated.,dV9C2eIo5QQ,185,2,0,20210216,2021-02-16,1613,26:53,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=dV9C2eIo5QQ
90,Moving from a sequence of scripts to a pipeline of functions,SXEXcXE6Ke0,617,11,0,20210209,2021-02-09,1975,32:55,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=SXEXcXE6Ke0
91,targets: Introduction,pbc6NX1n01Q,2373,31,1,20210202,2021-02-02,1962,32:42,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=pbc6NX1n01Q
92,targets: Introducción,EmDubkF8DpQ,73,1,0,20210202,2021-02-02,1514,25:14,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=EmDubkF8DpQ
93,Retrospective about meetups in 2020: Response,0qUs4hi7ozo,6,,0,20210119,2021-01-19,1551,25:51,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=0qUs4hi7ozo
94,Undoing things with git,dZOfEF19yDk,19,1,0,20210105,2021-01-05,1288,21:28,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=dZOfEF19yDk
95,Test driven development,-9QCNwmpTOE,17,1,0,20201229,2020-12-29,2359,39:19,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=-9QCNwmpTOE
96,Git practices by example,eeUZ8dHsmG8,22,1,0,20201222,2020-12-22,1811,30:11,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=eeUZ8dHsmG8
97,"Ejemplo de ""mejores practicas"" de Git",nSJT8NGhSTs,110,6,1,20201222,2020-12-22,2502,41:42,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=nSJT8NGhSTs
98,Inspecting the history,7igKU5JVmxM,21,1,0,20201215,2020-12-15,1887,31:27,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=7igKU5JVmxM
99,Remote setup: Fork (of ours),Q9S7CvXu3KY,15,,0,20201208,2020-12-08,2047,34:07,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=Q9S7CvXu3KY
100,Git remotes,jYvJO2lENbY,6,,0,20201201,2020-12-01,1748,29:08,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=jYvJO2lENbY
101,Merge conflicts,5gmTK8Cb-WE,16,,0,20201124,2020-11-24,2075,34:35,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=5gmTK8Cb-WE
102,"Moving commits across branches, rebasing, and squashing",tbvsaXwtcPU,32,,0,20201117,2020-11-17,1875,31:15,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=tbvsaXwtcPU
103,"git branch (part 2): merge, delete",zC31jaKp1jQ,20,,0,20201103,2020-11-03,1707,28:27,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=zC31jaKp1jQ
104,git branch (part 1),MU8E_gpylPE,25,,0,20201027,2020-10-27,1767,29:27,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=MU8E_gpylPE
105,"Good commit messages, .gitignore, GUIs",xyNydg5IUok,19,1,0,20201013,2020-10-13,1675,27:55,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=xyNydg5IUok
106,"git diff sha1 sha2 -- path, mv, rm, core.editor",XRF9tge--9I,35,1,0,20201006,2020-10-06,1756,29:16,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=XRF9tge--9I
107,"git status, add, rm --cached, commit, log",AxpkFkfTF8o,247,2,0,20200922,2020-09-22,1291,21:31,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=AxpkFkfTF8o
108,Introduction to version control with Git: Initialize a Git repository,S4GyNTwj_sc,73,,0,20200915,2020-09-15,1861,31:01,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=S4GyNTwj_sc
109,2020 09 08 code reviews -- in practice,-ho1CfoMHKQ,18,,0,20200908,2020-09-08,1778,29:38,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=-ho1CfoMHKQ
110,Conversaciones productivas sobre codigo (demo),kNV8dDGF7Hw,5,,0,20200901,2020-09-01,2216,36:56,Mauro Lepore,Mauro Lepore,https://www.youtube.com/watch?v=kNV8dDGF7Hw
